
[00:00:00.000 --> 00:00:02.000]   Parson
[00:51:42.180 --> 00:51:46.420]   Moving it back to 600 very quickly because it's going to be too much
[00:51:46.420 --> 00:51:51.060]   And that's also the reason why we have locked the booster level of
[00:51:51.060 --> 00:51:55.620]   1200 and that's also the reason why we say okay, you can have multiple
[00:51:56.100 --> 00:52:00.260]   Boosters a day. We're okay with that and we'll give you that flexibility
[00:52:00.260 --> 00:52:02.260]   But you cannot preset
[00:52:02.260 --> 00:52:07.380]   More than one booster. So if you want another booster on a given date, you actually need to take action
[00:52:07.380 --> 00:52:10.020]   in order to do that because
[00:52:10.020 --> 00:52:12.820]   We feel it's just another level of
[00:52:12.820 --> 00:52:20.900]   You know, you need to make that decision and not beforehand and don't just set it because these levels are very very powerful
[00:52:20.900 --> 00:52:22.980]   There are no joke
[00:52:23.060 --> 00:52:31.540]   And and while this feature is there, you know, at some point, you know, if you if you blast yourself with the 1200
[00:52:31.540 --> 00:52:33.460]   um
[00:52:33.460 --> 00:52:37.220]   For one and a half hours, it's a lot of energy
[00:52:37.220 --> 00:52:44.340]   So you can do that but you always need to make that decision again after that half an hour can do a one another half
[00:52:44.340 --> 00:52:45.540]   of that
[00:52:45.540 --> 00:52:47.460]   So I just want to want to say that and then
[00:52:47.460 --> 00:52:51.860]   You know the travel blog indeed has also this feature
[00:52:51.940 --> 00:52:54.580]   but it's it's about I would call it like about
[00:52:54.580 --> 00:52:56.580]   70 60 70
[00:52:56.580 --> 00:52:58.340]   percent of
[00:52:58.340 --> 00:53:03.780]   Off that and the quantum blog and infinity blog do not and they may have that in the future at some point
[00:53:03.780 --> 00:53:10.020]   But it's not going to happen the next six months. That's for us just impossible to do and to implement
[00:53:10.020 --> 00:53:11.540]   um
[00:53:11.540 --> 00:53:13.860]   within that time frame so
[00:53:13.860 --> 00:53:17.860]   Yeah, and now I may have missed your question
[00:53:17.860 --> 00:53:22.100]   But it was very important for me to to also mention like don't think that you can now
[00:53:22.100 --> 00:53:27.940]   Do 10 boosters 1200 and then stay at 900 all day long
[00:53:27.940 --> 00:53:31.060]   If you do this that that's
[00:53:31.060 --> 00:53:35.540]   Even the future doesn't cover that right. Yeah, it is. Yeah, it's definitely different
[00:53:35.540 --> 00:53:37.460]   Yeah, my question was like
[00:53:37.460 --> 00:53:43.060]   Um, I live in a very high concentrated quantum field because of all the blocks that I have
[00:53:44.260 --> 00:53:48.580]   And so I I sign myself up under the you thing and I'm wondering
[00:53:48.580 --> 00:53:50.580]   um
[00:53:50.580 --> 00:53:52.740]   um, you know
[00:53:52.740 --> 00:53:56.740]   Because I live in such a high high and you know, highly energetic environment
[00:53:56.740 --> 00:54:00.900]   What I you know, would the you even do anything for me
[00:54:00.900 --> 00:54:07.540]   Yes, it would and you will you will feel it and it depends probably which level you'll need to like
[00:54:07.540 --> 00:54:11.300]   Just test it out and and and see but
[00:54:12.100 --> 00:54:13.220]   having
[00:54:13.220 --> 00:54:19.780]   The blocks in your home and you're in in that field is different than being liddly inside
[00:54:19.780 --> 00:54:26.260]   A block. Oh yeah, and and in the quantum upgrade. It's like being in the block just in
[00:54:26.260 --> 00:54:32.420]   An upgraded block with but these specific features. Okay, and and yes
[00:54:32.420 --> 00:54:38.660]   So that will happen and what we'll take over for you then is actually the use service
[00:54:38.740 --> 00:54:43.140]   So that is the one that you'll you'll have unless you keep it at a very very low level
[00:54:43.140 --> 00:54:48.340]   Then it's it's probably going to be the conscious level of what you already have in your home
[00:54:48.340 --> 00:54:52.420]   but then really what we'll take over is the use service and then
[00:54:52.420 --> 00:54:54.420]   um
[00:54:54.420 --> 00:54:58.900]   Everyone else in the home and everything else in the home will
[00:54:58.900 --> 00:55:00.740]   will
[00:55:00.740 --> 00:55:02.260]   Just have the
[00:55:02.260 --> 00:55:05.700]   The blocks that they feel basically right pretty much how it works
[00:55:05.780 --> 00:55:09.780]   So like being inside the block all the time set at that consciousness level
[00:55:09.780 --> 00:55:15.700]   So the so the added perk of the upgrade would be that it's with me 24 hours a day as opposed to I
[00:55:15.700 --> 00:55:20.260]   Only spend 15 maybe 10 minutes a day with my hands inside the block
[00:55:20.260 --> 00:55:24.020]   Um as opposed to being able to have it 24 hours a day with the service
[00:55:24.020 --> 00:55:28.020]   So that that makes yes because being in the field is not the same as being inside the block
[00:55:28.020 --> 00:55:30.660]   um, however, what about wearing my heel capsule?
[00:55:30.660 --> 00:55:34.100]   um like what I try to do right is uh, I have
[00:55:35.140 --> 00:55:37.140]   uh travel block and in in the truck
[00:55:37.140 --> 00:55:42.260]   And then I wear a heel capsule so that I'm when I'm away from my truck and away from my home
[00:55:42.260 --> 00:55:44.740]   I'm still in a field
[00:55:44.740 --> 00:55:47.380]   um for emf purposes. So
[00:55:47.380 --> 00:55:54.180]   How does wearing a capsule like wearing the heel capsule and signing up for the u uh service?
[00:55:54.180 --> 00:55:56.660]   I mean, uh, is it?
[00:55:56.660 --> 00:56:00.820]   I mean, how what's the difference there because it seems like they would be the same because I've got the capsule on me
[00:56:00.820 --> 00:56:03.300]   But is there something different?
[00:56:03.460 --> 00:56:06.900]   Yes, it's very different actually. Yes. So the new services
[00:56:06.900 --> 00:56:11.460]   Yep, the u services way more powerful. It literally is
[00:56:11.460 --> 00:56:17.060]   Is almost coming from inside you like the it's it's it's the service
[00:56:17.060 --> 00:56:22.580]   Supports you energetically wherever you are in a much higher consciousness
[00:56:22.580 --> 00:56:25.700]   Level than the capsule. So the capsule
[00:56:25.700 --> 00:56:32.020]   Uh, isn't that high on the hawkin scale? It's it's still high, you know compared to other products out there
[00:56:32.020 --> 00:56:36.740]   But it's nothing compared to what you can do with the u service to be honest
[00:56:36.740 --> 00:56:38.580]   and
[00:56:38.580 --> 00:56:41.460]   That there still doesn't mean that you wouldn't use the capsule
[00:56:41.460 --> 00:56:48.340]   Uh, I probably in the beginning when I start the u service. I would not use the capsule just for several for a few days at least
[00:56:48.340 --> 00:56:51.380]   Just to not you know do too much
[00:56:51.380 --> 00:56:56.580]   But then the capsule still comes in really handy because it has these specific frequencies
[00:56:56.900 --> 00:57:01.940]   Right. Yeah, that's what we're at. So if you then were you have those frequencies
[00:57:01.940 --> 00:57:08.420]   And you get the real quantum boost for yourself also that's uh, uh, that can be very beneficial
[00:57:08.420 --> 00:57:12.580]   We had a Trevor for example. I'm just uh posting in the group
[00:57:12.580 --> 00:57:20.660]   I think yesterday that uh, he tried that or do you have the capsule and the quantum upgrade and for him personally work really really well
[00:57:20.660 --> 00:57:26.740]   And I can I can just uh, you know underline that, you know, because I've yeah, I've tried that too
[00:57:27.140 --> 00:57:33.540]   Okay, so yeah, so okay. So there's just okay the distinct differences is in the the consciousness level of the energy
[00:57:33.540 --> 00:57:40.980]   Secondly, it's the present the presence of that field always with you as opposed to being away from your block
[00:57:40.980 --> 00:57:45.220]   And that sort of thing but okay that starting to make sense because i'm you know, it's only we're two weeks into this everybody
[00:57:45.220 --> 00:57:50.340]   And there's so many of us are trying to wrap our heads around it and try to understand it
[00:57:50.340 --> 00:57:52.820]   And that's why we're doing this q&a, but I think that helps me
[00:57:53.380 --> 00:57:57.860]   Hopefully it helps for us you guys and then the the idea here that I guess the last thing was like
[00:57:57.860 --> 00:58:02.420]   If I use them together, I'm not going to overcharge myself like I like I personally keep
[00:58:02.420 --> 00:58:04.020]   um
[00:58:04.020 --> 00:58:06.820]   Myself in my one of my ibs all the time
[00:58:06.820 --> 00:58:14.500]   Uh inside it right just uh, you know a picture and then my fingernails and so um, it's always in there 24 hours a day
[00:58:14.500 --> 00:58:19.780]   Um, and so then if I signed up for the you and my overwhelming myself now because I've got
[00:58:20.340 --> 00:58:23.460]   A disservice coming at me. I've got my eye block coming at me
[00:58:23.460 --> 00:58:26.980]   Um, or no, there's there's no way to overcharge
[00:58:26.980 --> 00:58:31.780]   Well, I would I would uh take out the picture and the fingernail
[00:58:31.780 --> 00:58:39.620]   Out of the block if you do the service. Okay. That's what I would do. I would not go bought it with with two different things and
[00:58:39.620 --> 00:58:42.340]   You can have the block at home. No problem
[00:58:42.340 --> 00:58:49.060]   But I would then concentrate on the service and then there find the best level for you because that's that's you know
[00:58:49.540 --> 00:58:51.060]   literally like
[00:58:51.060 --> 00:58:53.140]   You you can tune it for you know
[00:58:53.140 --> 00:59:00.980]   What is the best for you in a given week or day and and and that's the easiest to to then customize for yourself?
[00:59:00.980 --> 00:59:07.380]   Okay. All right. Okay, that helps. Um, all right. Good. And you can have someone else in your block then, right?
[00:59:07.380 --> 00:59:12.260]   Yeah, actually I actually do because you know, uh, you know, I'm always being asked to you know
[00:59:12.260 --> 00:59:13.620]   And then of course
[00:59:13.620 --> 00:59:19.940]   Whenever one of my friends family anybody's got some issues going on. So I always have I have one in my kitchen, right?
[00:59:19.940 --> 00:59:22.500]   It's like an appliance at this point
[00:59:22.500 --> 00:59:28.660]   And then the other ones like being used for somebody or some animal a lot of usually a lot of animals
[00:59:28.660 --> 00:59:31.940]   Um, and so that's why I like having the service
[00:59:31.940 --> 00:59:37.540]   For I was just thinking like what's the service could do for me? I'm like, well, yeah, I could then have it with me all the time
[00:59:37.540 --> 00:59:42.180]   And I'd have another thing, you know, so yeah, okay. All right. That makes sense. Um, okay
[00:59:42.180 --> 00:59:45.860]   So, hey, by the way, you guys got more questions. Just throw them in the chat and tell her okay
[00:59:45.860 --> 00:59:49.940]   So let's get on to the next category on how to adjust the settings
[00:59:49.940 --> 00:59:52.900]   Uh, so we got some questions from the group. I did
[00:59:52.900 --> 00:59:56.660]   Uh, as I was signing up yesterday to give it a try
[00:59:56.660 --> 00:59:58.740]   um
[00:59:58.740 --> 00:59:59.380]   This
[00:59:59.380 --> 01:00:03.380]   Uh, right here is once you sign up and and maybe I don't know we can walk through how to sign up
[01:00:03.380 --> 01:00:07.860]   But these are the settings for you and so there's all these different questions about, you know
[01:00:07.860 --> 01:00:12.100]   These settings and and how they work and and so forth. So, uh, let's go ahead
[01:00:12.340 --> 01:00:16.260]   And just start right off the bat with, um, you know, how long does the booster run?
[01:00:16.260 --> 01:00:20.660]   So when I set up the booster like I set it up for right when we started talking
[01:00:20.660 --> 01:00:24.900]   Uh, I said it at 1100, but then how long does this thing run?
[01:00:24.900 --> 01:00:31.860]   Because there's no like 30 minutes 30 minutes. Okay, 30 minutes and we apologize
[01:00:31.860 --> 01:00:34.660]   So that's actually a good question. So I will
[01:00:34.660 --> 01:00:41.460]   Let our tech team know because we should probably make a note there that a booster is 30 minutes
[01:00:41.860 --> 01:00:45.620]   So that's a good point. Yeah, because there's the people are saying well, there's no start
[01:00:45.620 --> 01:00:48.500]   There's a start but there's no stop right? So how are they? Yeah, okay
[01:00:48.500 --> 01:00:52.100]   So then so then and so then in terms of like if I wanted to
[01:00:52.100 --> 01:00:55.700]   Like you were talking earlier if I want to boost myself again
[01:00:55.700 --> 01:01:00.180]   Like right now it's like 1220 if I wanted to boost myself
[01:01:00.180 --> 01:01:03.940]   Could I just do this and then put in let's say start another booster
[01:01:03.940 --> 01:01:08.180]   Uh at 1220 and go okay update and then I get another boost
[01:01:09.220 --> 01:01:13.780]   I would not set it right at 1220, but I would give it 10 minutes
[01:01:13.780 --> 01:01:17.060]   You know, just put it at 1230 or at one or whatever
[01:01:17.060 --> 01:01:20.820]   But you allow your system always five to 10 minutes too
[01:01:20.820 --> 01:01:24.980]   So it always takes about five to 10 minutes to
[01:01:24.980 --> 01:01:27.060]   um
[01:01:27.060 --> 01:01:31.380]   To update basically. Okay. That makes sense. All right. So to your point
[01:01:31.380 --> 01:01:36.980]   Which you cautioned about so everybody heads up on the caution is you don't want to be boosting yourself constantly
[01:01:37.380 --> 01:01:38.580]   um, but
[01:01:38.580 --> 01:01:41.700]   Like you know like like in this example. I'm in the middle of an interview
[01:01:41.700 --> 01:01:45.300]   I want to be at peak energy and the interview lasts like, you know an hour and a half, right?
[01:01:45.300 --> 01:01:52.660]   So I want to boost myself while i'm doing it if i'm in a really important meeting at work or i'm taking finals or i'm arguing with the wife
[01:01:52.660 --> 01:01:59.700]   I need some energy then you can go on here and I I want to also point out philip had a really great recommendation
[01:01:59.700 --> 01:02:04.020]   Which i'm sticking by which is I leave this page running
[01:02:04.500 --> 01:02:08.180]   So if I want to make any tweaks throughout the day, I don't have to keep logging back in and out
[01:02:08.180 --> 01:02:12.900]   This thing will just stay running and I can run up here change the number hit update and then, you know, boom, right?
[01:02:12.900 --> 01:02:15.780]   Okay, so so yeah, I think the I think the
[01:02:15.780 --> 01:02:17.620]   By the way
[01:02:17.620 --> 01:02:21.700]   So why you just said a recommendation i just popped up in my mind
[01:02:21.700 --> 01:02:28.020]   That I had another recommendation at some point that a lot of people said that helped them a lot in the beginning
[01:02:28.020 --> 01:02:34.180]   That was when we had the you know 25 people test group a several, you know a month or a month and a half ago
[01:02:34.740 --> 01:02:37.620]   And that was really if you start this you service
[01:02:37.620 --> 01:02:40.900]   it's really the people ask the case of what
[01:02:40.900 --> 01:02:48.420]   How do I like leverage this this energy best for me and you know always great things are you know
[01:02:48.420 --> 01:02:51.140]   Take care of yourself find something that you know
[01:02:51.140 --> 01:02:57.540]   Brings you joy and do that but then there are so all these things that probably everyone has one way another
[01:02:57.540 --> 01:03:01.140]   The couple things that are kind of like blocking us because it's stuff
[01:03:01.220 --> 01:03:07.780]   We should should have done already or we should have taken care of like paying this bill or doing that or making that phone call
[01:03:07.780 --> 01:03:15.620]   We've always put it off like maybe pick a couple of these things and just do them and and just leverage that energy with that and
[01:03:15.620 --> 01:03:20.580]   Wow, you'll you'll feel things like pop. It's it's it's quite amazing
[01:03:20.580 --> 01:03:25.140]   Um how that works and it doesn't mean you should go into activity mode, right?
[01:03:25.140 --> 01:03:28.420]   It doesn't doesn't mean that you can also go into relaxing mode
[01:03:28.420 --> 01:03:35.060]   But in between there's some of these things that you may have the extra energy boost now to actually get it done
[01:03:35.060 --> 01:03:39.940]   Cool because that's that's why I picked you for me, you know
[01:03:39.940 --> 01:03:46.100]   I mean I want to actually expand on that but let me get through the questions because I I definitely have what you just described
[01:03:46.100 --> 01:03:51.860]   I'm living. I've got a personal challenge and I'm hoping that you know signing up for the you is going to kind of give
[01:03:51.860 --> 01:03:55.780]   Me that extra boost so but I want to get into the let me get into these questions here
[01:03:56.180 --> 01:03:59.860]   Um, all right, so it runs for 30 minutes. You can do it multiple times a day
[01:03:59.860 --> 01:04:03.140]   Not recommended because you don't want to be that high all the time
[01:04:03.140 --> 01:04:05.860]   And I guess that applies and everything
[01:04:05.860 --> 01:04:08.180]   Okay, so then um
[01:04:08.180 --> 01:04:11.860]   Are there so I guess the thing is so that we talked about are there do's and don'ts right?
[01:04:11.860 --> 01:04:17.860]   So the thing is is you would don't recommend boosting constantly, but there was specific to the booster
[01:04:17.860 --> 01:04:24.820]   You know, there's only two choices here one thousand and eleven hundred but and so I was thinking in terms of do's and don'ts
[01:04:25.220 --> 01:04:29.780]   So the don'ts is don't recommend, you know, you know, you don't recommend boosting all the time
[01:04:29.780 --> 01:04:32.980]   Like multiple times a day, but just a few times is okay
[01:04:32.980 --> 01:04:39.860]   Uh, but then at the same time are there any other do's and don'ts that you want to share with everybody about using the booster
[01:04:39.860 --> 01:04:46.100]   Not really that's pretty much it by the way you can request the
[01:04:46.100 --> 01:04:48.740]   1,200 level even
[01:04:48.740 --> 01:04:54.420]   For the booster, but that would really just be recommended for folks that have already had, you know
[01:04:54.420 --> 01:04:57.860]   an affinity block package for quite some time or that are
[01:04:57.860 --> 01:05:03.220]   Energy healers themselves and feel like they can really handle a lot of energy
[01:05:03.220 --> 01:05:09.220]   Um, so you can request their from customer service and just let them know, you know that
[01:05:09.220 --> 01:05:13.860]   You feel like you can definitely handle that and and then
[01:05:15.140 --> 01:05:22.340]   We'll gladly unlock that for you. Okay. Cool. That was one of the actual questions. So okay. You can pause also, right?
[01:05:22.340 --> 01:05:27.220]   So I don't know if people know that but you can also pause the service
[01:05:27.220 --> 01:05:34.260]   Uh, and that does mean that your subscriptions stops or pauses. It just pauses the quantum upgrade. So
[01:05:34.260 --> 01:05:39.060]   There are some people that are very sensitive and that may want in the first
[01:05:40.260 --> 01:05:45.940]   Two nights or so just to completely pause the service and so you can do that at any time
[01:05:45.940 --> 01:05:50.100]   You want and then you can just unpause the service also
[01:05:50.100 --> 01:05:52.740]   How do you how do you pause it?
[01:05:52.740 --> 01:05:56.260]   If you go there again, you see there the pause button
[01:05:56.260 --> 01:05:58.820]   pause button
[01:05:58.820 --> 01:06:04.340]   Should be on the upper left somewhere. I can't see it because it's on my phone if it's not there then
[01:06:07.220 --> 01:06:12.580]   Then I don't know why because I've seen it multiple times. Um, okay. I'm not seeing it
[01:06:12.580 --> 01:06:15.540]   I don't want to go any higher. It's got my personal info, but
[01:06:15.540 --> 01:06:20.580]   Um, yeah, don't worry that maybe that you need to clear you catch the end and
[01:06:20.580 --> 01:06:24.900]   Refresh it. I'll reach out to the tech team, but it it's been up since
[01:06:24.900 --> 01:06:31.060]   Oh, here it is. Okay. Hey, the screen I was showing everybody was of as of last night
[01:06:31.060 --> 01:06:34.820]   I I just hit refresh. So here you go. You got a pause button now
[01:06:35.540 --> 01:06:39.700]   Yes, it's a different screen like that for a week. Oh really? Oh weird. Yeah
[01:06:39.700 --> 01:06:45.220]   Because I just signed up yesterday. Okay. All right. So here's your pause button. Yeah, you can you can click it
[01:06:45.220 --> 01:06:50.100]   And then it also shows shows you okay your quantum upgrade is currently paused
[01:06:50.100 --> 01:06:50.900]   Okay
[01:06:50.900 --> 01:06:56.020]   And then you know if it's if it's not paused it shows you your quantum upgrade is currently active
[01:06:56.020 --> 01:07:00.580]   That was a request from from the folks in the telegram group to make it more clear
[01:07:00.980 --> 01:07:06.740]   Is it now active or is it not? Yeah, no, it should be all like double clear. Okay. Cool. All right
[01:07:06.740 --> 01:07:11.380]   So there's your pause button so you can pause turn and you can pause it on and off
[01:07:11.380 --> 01:07:14.820]   Uh, oh each booster is 30 minutes. So I guess you already have it there
[01:07:14.820 --> 01:07:19.300]   So okay, so then you got the boosters. Okay. All right. So let's see other. What are the other questions here?
[01:07:19.300 --> 01:07:24.900]   Um, how many times a day can I use it? So what would you say as a recommendation? It's like you don't really want to boost
[01:07:24.900 --> 01:07:29.140]   over x number of times. Do you have a number or is it per person?
[01:07:30.180 --> 01:07:37.460]   Well, people love playing around with this thing. Yeah, I would I would start with just one booster a day
[01:07:37.460 --> 01:07:40.580]   You know, if you're totally new to this don't even do any booster
[01:07:40.580 --> 01:07:46.500]   Maybe for the first two three days, but then maybe use the booster also to
[01:07:46.500 --> 01:07:50.980]   To tune you of your senses, you know, we've had people that are
[01:07:50.980 --> 01:07:55.140]   Maybe not so sensitive to energy and this is all new to them. They haven't
[01:07:56.020 --> 01:08:01.620]   Learned and trained themselves yet to to feel the subtle energy and and using the boosters
[01:08:01.620 --> 01:08:08.100]   Is also a good way to to actually do that because you at some point you will feel the difference and the energy levels
[01:08:08.100 --> 01:08:10.180]   And it's it's a great way
[01:08:10.180 --> 01:08:16.260]   You know like becoming a tennis pro, you know, that takes practice same thing here with feeling energy and all of that
[01:08:16.260 --> 01:08:20.100]   Uh, we can all do it just takes a little bit of practice
[01:08:20.100 --> 01:08:24.180]   Yeah, I've actually read because I've read the entire thread from start to finish and
[01:08:24.820 --> 01:08:28.180]   There have been at least three people come in and just said hey, you know
[01:08:28.180 --> 01:08:33.380]   How do I pause this thing because it it they felt it right away and I was a little bit too much for him
[01:08:33.380 --> 01:08:39.060]   Just you know right from the getco at 500. So yeah, it's definitely people are feeling it people
[01:08:39.060 --> 01:08:43.460]   I like myself that have been living with blocks for you know, well over a year
[01:08:43.460 --> 01:08:47.860]   Um, yeah, I haven't I haven't felt it yet, but again
[01:08:47.860 --> 01:08:52.500]   I've got to take myself out of the ib and maybe that'll make a difference. So all right, um
[01:08:53.540 --> 01:08:58.260]   Okay, how many times a day? How do I access booster levels? We show you have the contact customer service
[01:08:58.260 --> 01:09:00.580]   That's this little button right there
[01:09:00.580 --> 01:09:03.940]   You can see it just anytime you just contact customer service
[01:09:03.940 --> 01:09:07.940]   Uh, if you want to get to 1200 if you if you've been around
[01:09:07.940 --> 01:09:12.900]   QE for a while now, you can have an extra number down here. So right now I've got
[01:09:12.900 --> 01:09:16.660]   1100 1,000 and 1,100 in their twice. So
[01:09:16.660 --> 01:09:18.740]   Okay
[01:09:18.740 --> 01:09:19.860]   Um
[01:09:19.860 --> 01:09:24.340]   Now, uh, how do I change from one option to another? So there was a several questions
[01:09:24.340 --> 01:09:30.100]   Uh, where people were saying hey, I signed up for you, but I want to sign up for home next or now, right?
[01:09:30.100 --> 01:09:32.260]   I want to switch from you to home
[01:09:32.260 --> 01:09:38.100]   Uh, and you know without I don't want two of them. I want one subscription. How do you do that?
[01:09:38.100 --> 01:09:45.220]   You if you currently have a subscription and you would like to rather change it to another one
[01:09:45.540 --> 01:09:48.820]   Right and you need to reach out to customer service. Okay
[01:09:48.820 --> 01:09:54.020]   Which is support at quantum upgrade.io
[01:09:54.020 --> 01:09:56.100]   Okay, now do you have a
[01:09:56.100 --> 01:10:01.060]   Okay, you know, because obviously, you know, you're a small company and there's not a lot of you guys plus
[01:10:01.060 --> 01:10:03.460]   You know, it's it's overhead
[01:10:03.460 --> 01:10:10.260]   But is there like a limit to like how many times somebody can switch around from car to home to business to you, you know
[01:10:10.260 --> 01:10:12.260]   Uh, throughout a month
[01:10:12.260 --> 01:10:14.500]   Is I could see where you could get some abuse on that?
[01:10:15.780 --> 01:10:17.780]   Yeah, so I mean
[01:10:17.780 --> 01:10:22.020]   That's actually not at all the idea that you just switched the whole time
[01:10:22.020 --> 01:10:28.820]   No, no, we would not want that that that's not the idea. Right. That would just be crazy. I couldn't imagine I mean you will accommodate that
[01:10:28.820 --> 01:10:34.660]   Yeah, that's just too much. But so I'm thinking that you know, people that have asked that question and you know, it's a sincere question like oh
[01:10:34.660 --> 01:10:39.540]   I tried it. I'd rather do something else. Hey, no problem. Let's go ahead. Yeah, that's fine totally fine
[01:10:39.540 --> 01:10:45.060]   And you know, we're as flexible as that can be you know with all these things and even
[01:10:45.620 --> 01:10:50.100]   Hey, if there's uh, you signed up for the all in one bundle for example, right?
[01:10:50.100 --> 01:10:52.100]   So and we're we're getting into the bundle but
[01:10:52.100 --> 01:10:58.340]   Now that we're introducing new bundles and if you then want to rather switch to one of the other bundles, of course
[01:10:58.340 --> 01:11:00.660]   We're going to make that happen for you, you know, right?
[01:11:00.660 --> 01:11:02.580]   Okay, so
[01:11:02.580 --> 01:11:07.380]   Definitely accommodating but you know, um, but just not not meant for
[01:11:07.380 --> 01:11:12.100]   I want to try something different every week, you know, that's not that's not what that that on
[01:11:12.980 --> 01:11:18.900]   Right. Okay. So just heads up. Uh, now updating information. That was the other thing too is somebody said, hey, I'm moving
[01:11:18.900 --> 01:11:21.540]   Uh, or I changed my phone
[01:11:21.540 --> 01:11:26.580]   So if I if I like you said earlier if I have any information like the hard-coded information
[01:11:26.580 --> 01:11:31.620]   Which would be your personal information and that changes then you have to contact customer service, right?
[01:11:31.620 --> 01:11:35.220]   That's how you go ahead update your yes, and so
[01:11:35.220 --> 01:11:39.780]   We debated that in the beginning before we launched this and
[01:11:40.820 --> 01:11:43.300]   We came to the conclusion that it's better that way
[01:11:43.300 --> 01:11:48.500]   Also because we don't want people to you know use it for themselves
[01:11:48.500 --> 01:11:54.100]   Today and then for their dad tomorrow and then for the mother and the next day and then for their friend
[01:11:54.100 --> 01:11:57.700]   In three days and all of that and just switch it around, you know
[01:11:57.700 --> 01:12:03.380]   This is your service you send up for you minutes for you and not for someone else if you want it for someone else
[01:12:03.380 --> 01:12:06.580]   You just need to get a bundle or something like that
[01:12:06.900 --> 01:12:13.460]   Right, and you know if if you change your address because you're moving. Hey, you know, just send this and out. We'll we'll take care of it
[01:12:13.460 --> 01:12:18.340]   No problem whatsoever. Oh, yeah, that makes sense. Yeah, just you know, yeah, everybody, you know, keep in mind that
[01:12:18.340 --> 01:12:22.420]   You know, people have to do something behind every question your request you ask for
[01:12:22.420 --> 01:12:25.220]   and it's meant for
[01:12:25.220 --> 01:12:31.700]   You know, I'm not not constant changes, but okay, that's reasonable very reasonable for a company to to say that
[01:12:31.700 --> 01:12:36.740]   Okay, so then um how soon the changes I think you covered that you said about five to ten minutes
[01:12:36.740 --> 01:12:42.740]   So I did at 12 20 I updated I updated I wanted to have a boost kickoff at 12 30
[01:12:42.740 --> 01:12:47.140]   So you said give it five or ten minutes. So yeah, it's five or ten minutes after you sit
[01:12:47.140 --> 01:12:51.860]   You have to click click update. Don't forget to click update and then it'll happen after that. Correct
[01:12:51.860 --> 01:12:58.740]   Yes, okay now the thing about setting intentions, which is what I wanted to chat with you about
[01:12:58.740 --> 01:13:04.420]   Like I signed up for you because I've been wrestling like a lot of people right with with weight loss
[01:13:04.580 --> 01:13:11.380]   And I'm trying to kick into doing some intermittent fasting and it has been so brutal trying to get past that
[01:13:11.380 --> 01:13:17.620]   You know 16 hour hump for me. And so that's why I'm saying so I'm so I'm really kind of like trying to boost up
[01:13:17.620 --> 01:13:21.540]   Energy to kind of just push through that, you know, push through it and get through it
[01:13:21.540 --> 01:13:25.700]   And then of course you got to do everything for 10 days before it becomes a habit
[01:13:25.700 --> 01:13:31.540]   So I'm really trying hard and I've failed multiple times and it's been a miserable failure of an experiment
[01:13:32.900 --> 01:13:38.180]   But so you know and I so I want to set an intention that says, you know, I will
[01:13:38.180 --> 01:13:43.380]   I will make it. I will push through. I will be able to do it for 10 days and make it a daily habit
[01:13:43.380 --> 01:13:45.860]   How do I do that with the use service?
[01:13:45.860 --> 01:13:50.740]   Because I know I would just write that out and put it in my block and I have and it's not working. So
[01:13:50.740 --> 01:13:54.180]   What do you recommend?
[01:13:54.180 --> 01:14:01.700]   I recommend first of all that you take the weight loss card and put it in your pocket during that time when you get started
[01:14:02.180 --> 01:14:07.460]   And then you know with the use service and intention indeed, that's where the block would come in handy
[01:14:07.460 --> 01:14:13.460]   So I would put the intention in your block because you really can't do that with the with the use service you can
[01:14:13.460 --> 01:14:19.300]   Resinate that and set that intention internally for you, right? It's it's sort of this
[01:14:19.300 --> 01:14:24.500]   Internal navigator, right, you know, just try to set it on autopilot and then
[01:14:24.500 --> 01:14:30.900]   Just ask your whole system to support it and to to go do it. I don't know if there's
[01:14:33.060 --> 01:14:36.740]   So if the intention is to do this for 10 days and then forever
[01:14:36.740 --> 01:14:38.820]   I don't know if you could allow yourself
[01:14:38.820 --> 01:14:40.500]   on
[01:14:40.500 --> 01:14:46.180]   On the weekends for example to not do it that way that's just like a personal I'm getting off track here
[01:14:46.180 --> 01:14:48.020]   Maybe but okay
[01:14:48.020 --> 01:14:52.740]   Possibly if you can manage this for 10 days and then maintain it for the next
[01:14:52.740 --> 01:14:56.500]   Five days and then just on the weekends you
[01:14:56.500 --> 01:15:00.100]   You don't do it that way and then then go back
[01:15:00.740 --> 01:15:06.020]   Maybe that is the way to go to not forever and ever be that strict
[01:15:06.020 --> 01:15:08.580]   Oh, yeah
[01:15:08.580 --> 01:15:14.260]   It's yeah, because well first the first question was and I think other folks have I think a couple other folks asked that question
[01:15:14.260 --> 01:15:20.900]   Which was can you use intentions with the upgrade service or is that something you only can do with blocks?
[01:15:20.900 --> 01:15:27.380]   Yeah, it's way easier with the blocks. I would say and the only thing really with the use service
[01:15:27.940 --> 01:15:32.820]   Whatever intention you have and you internalize it certainly gets supported
[01:15:32.820 --> 01:15:38.260]   But it's something if you put an intention in the block. It really is something that
[01:15:38.260 --> 01:15:42.020]   Vibrates there at all times and you don't really need to
[01:15:42.020 --> 01:15:48.740]   Do anything on top of that. Okay. Yeah, okay, because if anyone's familiar with intermittent fasting
