
[00:00:00.000 --> 00:00:04.720]   Aloha everyone and welcome to another Tinkers Academy video. I'm your host Kay Elmer and today
[00:48:09.120 --> 00:48:13.360]   Well, yes, but you just make one correction there
[00:48:13.360 --> 00:48:15.360]   um a lipo
[00:48:15.360 --> 00:48:21.920]   fullerene is a fullerene that's surrounded by oil. That's basically all it is and in the way they um
[00:48:21.920 --> 00:48:24.560]   you know put things into
[00:48:25.520 --> 00:48:30.000]   a lipid format is they take that point to micron filter
[00:48:30.000 --> 00:48:34.480]   And they will put it they put it in like two syringes and they'll squish it shoot it back and forth
[00:48:34.480 --> 00:48:41.520]   And so until all the particles get coated or covered with oil and that's that that's a that's a liposome when it's covered with oil
[00:48:41.520 --> 00:48:45.120]   And that's the process that's used quite frequently to make liposomes
[00:48:45.120 --> 00:48:50.800]   Is just to push it back and forth through a tiny filter and so all the particles separate now get surrounded by oil
[00:48:51.280 --> 00:48:56.480]   So, yeah, we have our our particles are obviously slapped surrounded by oil too. So yes, we have a
[00:48:56.480 --> 00:48:58.640]   a lipo fullerene
[00:48:58.640 --> 00:49:03.840]   Um, but I want to talk about this graph. We have I mean it's showing what we have here in front of us
[00:49:03.840 --> 00:49:05.840]   He's picture of these test tubes
[00:49:05.840 --> 00:49:11.280]   Yeah, starting on a far right and moving across the screen to the left is it gets darker and darker and darker
[00:49:11.280 --> 00:49:16.240]   Um, you can see we put a very low concentration of carbon 60 in the first two
[00:49:16.800 --> 00:49:20.560]   Uh vials, you know, then then we increased it gradually
[00:49:20.560 --> 00:49:26.160]   Uniformly up to the scale and um, we call this the 21 bottles test
[00:49:26.160 --> 00:49:29.840]   But we really shouldn't have 35 bottles on a but a table wasn't big enough
[00:49:29.840 --> 00:49:33.120]   To get the full concentration up to what we have in our bottle
[00:49:33.120 --> 00:49:40.240]   Um, but you can see as like most other products of carbon is 60 you can see visually right through the
[00:49:40.240 --> 00:49:43.920]   Uh right through the glass. It's looks like on the first two
[00:49:44.320 --> 00:49:48.240]   They they look like they're basically all a sunflower oil in this case
[00:49:48.240 --> 00:49:53.600]   And so as we increase the darkness it gets darker and darker and darker and darker and that's basically
[00:49:53.600 --> 00:49:56.000]   uh what that um
[00:49:56.000 --> 00:50:02.000]   Little setup shows and we have a video on our website that shows that also. Yeah, okay. So, okay
[00:50:02.000 --> 00:50:09.680]   So I guess the point here is all all c60 products out there in the market that c16 oil and yours as well
[00:50:10.240 --> 00:50:15.520]   Is it's lipo fullerene and it's also suspension and it's probably also a colloid, right?
[00:50:15.520 --> 00:50:22.640]   It's actually there's a little bit of all three uh in all of these different products and and and irregardless of how the c60
[00:50:22.640 --> 00:50:31.520]   Is provided in these three different manners. That still has a beneficial effect. I think that's the the key point, correct?
[00:50:31.520 --> 00:50:38.480]   Yeah, so I would agree with that. I want to show you. I want to show you another little uh test tube video here. We have here
[00:50:39.040 --> 00:50:40.320]   So
[00:50:40.320 --> 00:50:46.080]   This is just to show you the size of our particle size and we have another video out there that shows we call it
[00:50:46.080 --> 00:50:50.640]   You know, uh, we we study the size of the carbon 60 molecule or the volume
[00:50:50.640 --> 00:50:52.240]   These are all
[00:50:52.240 --> 00:50:55.360]   You know the popular vendors out there that sell carbon 60 products
[00:50:55.360 --> 00:51:01.360]   And and this is a gram. This is a gram of uh, some vendor carbon 60 that makes the powder
[00:51:01.360 --> 00:51:05.760]   This is another another gram of another vendor and this is a gram of another vendor
[00:51:05.840 --> 00:51:09.200]   Now this is a gram of our powder. It fills the whole test tube
[00:51:09.200 --> 00:51:14.720]   And this because the particle size is so much smaller. It takes up more volume
[00:51:14.720 --> 00:51:20.320]   You know, uh, so and then we got that zeroed in on a we got a video on that showing
[00:51:20.320 --> 00:51:23.280]   Also, we didn't show when we we never stopped the camera
[00:51:23.280 --> 00:51:27.920]   We showed how we poured it out and weighed it and everything came out to the the gram
[00:51:27.920 --> 00:51:34.240]   Amounts. Yeah. Yeah, I saw that video really interesting. It's kind of like the concept of powdered sugar versus granular sugar
[00:51:34.720 --> 00:51:37.840]   Versus yeah, yeah, it just gets the volume is huge
[00:51:37.840 --> 00:51:42.560]   Okay, so there you there you go on trying to understand c60 everybody
[00:51:42.560 --> 00:51:50.880]   Yeah, yeah, the most important thing is the particle size. Yeah, you get the bioavailability it gets a float around your body
[00:51:50.880 --> 00:51:56.320]   Um, I always compare it to like snowballs and snowflakes you're gonna have 10 pounds of snowballs
[00:51:56.320 --> 00:52:02.720]   Where each snowball will do one neutralize one free radical where all you have 10 pounds of snowflakes
[00:52:02.800 --> 00:52:10.640]   We'd snowflake or neutralize one free radical and so that's basically the the difference in the bioavailability process
[00:52:10.640 --> 00:52:18.000]   Okay. All right. So now when we talk about c60. Thank you for all that. That's really good to know very very educational
[00:52:18.000 --> 00:52:19.760]   um
[00:52:19.760 --> 00:52:25.840]   Let's talk about the commercial products out there all the c60 powder manufacturers
[00:52:25.840 --> 00:52:28.880]   And the idea of the residual solvents because that's
[00:52:29.440 --> 00:52:33.840]   Uh, you know, it's a huge issue for a lot of folks who are you know very health conscious and they don't want to have
[00:52:33.840 --> 00:52:36.560]   Uh, you know, they don't want any negative things
[00:52:36.560 --> 00:52:39.440]   You know and digesting and so forth or put on their skin
[00:52:39.440 --> 00:52:45.920]   And and something that you said in our pre-interview which I didn't ever consider because when I when I looked at solvents
[00:52:45.920 --> 00:52:54.000]   I found studies that simply said um that the solvents uh, there are they're always going to be residual solvents
[00:52:54.560 --> 00:53:00.400]   when c60 is as extracted from fullerene soot using chemicals, right because
[00:53:00.400 --> 00:53:05.440]   It gets trapped within the crystal clusters of the c60
[00:53:05.440 --> 00:53:10.640]   So it's it's actually trapped in there. So even though they do like an you know like an like an ether
[00:53:10.640 --> 00:53:18.080]   Wash, uh, they're still gonna you know, you're still gonna have residual solvents no matter what and that several producers out there
[00:53:19.040 --> 00:53:26.560]   Multiple uh, they just basically put it in a vacuum oven, um and bake it multiple times and declare it solvent-free
[00:53:26.560 --> 00:53:31.040]   Um, right and so but what I wanted but you pointed out something to me
[00:53:31.040 --> 00:53:36.560]   Now if you could you know, just expand on this but it's not that to see the solvent molecules
[00:53:36.560 --> 00:53:40.320]   Are you know, they're you know, the studies show yes, they're trapped in the crystals
[00:53:40.320 --> 00:53:47.040]   In between the c60 molecules, but you also mentioned which I did not know and I went and looked up and I found the study that
[00:53:47.600 --> 00:53:50.880]   basically supports what you mentioned to me was that
[00:53:50.880 --> 00:53:58.880]   The solvents don't just get trapped as solvent molecules, but they actually bond to the c60 molecules
[00:53:58.880 --> 00:54:03.520]   So could you expand on that because that was news to me when we talked last week
[00:54:03.520 --> 00:54:06.160]   Yeah, the the carbon 60
[00:54:06.160 --> 00:54:14.000]   Uh molecule and the solvent to toluene is the most common one will actually chemically bond to the carbon 60 molecule
[00:54:14.720 --> 00:54:19.120]   And it swells the bond angles of the electrons
[00:54:19.120 --> 00:54:23.520]   Which pushes the lattice structure apart and this is my fiber optics background
[00:54:23.520 --> 00:54:30.320]   Uh, I know a little bit about light and how light reflects and what color we mix color as you have the the um
[00:54:30.320 --> 00:54:35.840]   The lattice structure expanded and swelled instead of absorbing all the light like being black
[00:54:35.840 --> 00:54:42.240]   Um, it will reflect between the lattice structure that wavelength of light and reflect it back and show the color purple
[00:54:42.560 --> 00:54:48.000]   And that's because it expands the carbon 60 molecules and their lattice structure the crystalline structure
[00:54:48.000 --> 00:54:55.520]   A crystal of carbon 60 is a crystalline structure. It's just an atomic arrangement of the molecules
[00:54:55.520 --> 00:55:01.360]   Um, they all line up in a particular pattern. That's that's that's a crystalline lattice structure
[00:55:01.360 --> 00:55:07.440]   So it's just an arrangement of the carbon atoms like you have diamonds. They're arranged in a triangular
[00:55:09.040 --> 00:55:14.800]   Format they they form triangles three three four tran- three one two three four triangles around a
[00:55:14.800 --> 00:55:18.880]   With carbon molecules you get the your graphene, which is a flat sheet
[00:55:18.880 --> 00:55:25.760]   That's that's another atomic arrangement another allotope of carbon. So the carbon 60 molecule being spherical in shape
[00:55:25.760 --> 00:55:31.280]   Uh, that's what happens you when it bonds with the solvents and it reflects the color purple that wavelength
[00:55:31.280 --> 00:55:36.000]   And they say well, yeah, ours is a certain color purple and that means it's
[00:55:36.800 --> 00:55:39.120]   9.99 pure
[00:55:39.120 --> 00:55:44.560]   With which means that pure again means that it's a ratio of carbon 60 to carbon 70
[00:55:44.560 --> 00:55:47.920]   Carbon 70 is actually red when it's saturated with solvents
[00:55:47.920 --> 00:55:56.880]   And so if you get a little bit of red and a little bit of blue from the actual carbon 60 molecule when the bond lines are expanded with the solvents
[00:55:56.880 --> 00:55:58.560]   Um
[00:55:58.560 --> 00:56:00.080]   Or the bond angles
[00:56:00.080 --> 00:56:04.160]   Um, it would reflect a color purple and that's what they call color purple now
[00:56:04.400 --> 00:56:06.640]   Now what we did test they said, oh, you know when we were
[00:56:06.640 --> 00:56:12.480]   Accused of using ink tone of cartridge and stuff like that or things like that in our product
[00:56:12.480 --> 00:56:20.240]   Um, you know, we were we were baffled too because we put our product and it said well if you put carbon 60 into tiling it turns purple
[00:56:20.240 --> 00:56:22.800]   Well, we never
[00:56:22.800 --> 00:56:27.120]   You know, we put our product where so let's take some of our carbon 60 put it in it's audially
[00:56:27.120 --> 00:56:30.880]   It didn't turn purple. We did hundreds of tests
[00:56:31.440 --> 00:56:34.480]   We put a little bit of carbon 60 different volumes different amounts
[00:56:34.480 --> 00:56:36.080]   into toluene
[00:56:36.080 --> 00:56:41.040]   I've been set up a little rocker table that would rock it back and forth for a week to keep it keep it in motion
[00:56:41.040 --> 00:56:44.320]   And uh gosh, we could never get it to turn purple
[00:56:44.320 --> 00:56:49.040]   And we go why why what happened, you know, we don't understand why ours doesn't turn purple
[00:56:49.040 --> 00:56:54.080]   Well, see there's this pre saturated because it's because it's it's produced with solvents
[00:56:54.080 --> 00:56:57.200]   So there's already solvents in there. So it's already pre-saturated
[00:56:57.680 --> 00:57:01.840]   We haven't we finally had one of our our our products turn purple
[00:57:01.840 --> 00:57:05.440]   And we realized that I left it in the my car
[00:57:05.440 --> 00:57:08.160]   And we're in color out of the hot and cold of the day
[00:57:08.160 --> 00:57:14.480]   Heat set up cools it down heat set up colds it down in the three week three weeks that temperature switch
[00:57:14.480 --> 00:57:22.800]   A change of hot and cold actually saturated carbon 60 molecules with the toluene so it turned up purple is
[00:57:24.160 --> 00:57:26.160]   the first one over here and
[00:57:26.160 --> 00:57:32.720]   And so so so once you're pre-saturated it turns purple and if you're in it once we saturated ours it turned purple
[00:57:32.720 --> 00:57:38.080]   So that's that was our proof in point. Okay. So so in the process of you know
[00:57:38.080 --> 00:57:43.040]   Let's just call it the traditional way of making see six years synthesizing c60
[00:57:43.040 --> 00:57:44.720]   um
[00:57:44.720 --> 00:57:49.040]   They first you use an arc reactor you create set you take the sit
[00:57:49.840 --> 00:57:56.000]   And then you use liquid chromatography to separate the fullerenes out the difference c60 c70
[00:57:56.000 --> 00:57:58.560]   c80 for all that and
[00:57:58.560 --> 00:58:06.400]   In that process right they take they take the sit and they put it in toluene or benzene or whatever they're using
[00:58:06.400 --> 00:58:09.760]   It changes colors at that point. So how does it?
[00:58:09.760 --> 00:58:12.560]   Pick up like I guess if you're putting
[00:58:13.680 --> 00:58:17.920]   Sit into toluene. How does it turn purple?
[00:58:17.920 --> 00:58:25.760]   Because it has is it bonding to the toluene at the moment they add it like during the chromatography process
[00:58:25.760 --> 00:58:30.240]   I've never done the chromatography process. I never done it
[00:58:30.240 --> 00:58:37.200]   But it is a solvent based separation process called high performance liquid chromatography
[00:58:37.200 --> 00:58:40.560]   And that's when they they separate the carbon 60 molecules
[00:58:41.040 --> 00:58:44.160]   Um and and they well they can tell you know what the ratio is
[00:58:44.160 --> 00:58:51.520]   By determining what color purple it is. Yeah, I don't know how quickly it turns if it turns very quickly. I don't don't know
[00:58:51.520 --> 00:58:57.440]   Okay, okay. Yeah, so but so the idea though is that it's it's purple because the solvents are present
[00:58:57.440 --> 00:59:03.680]   Correct and as many um studies showing that solvents make carbon 60 purple
[00:59:03.680 --> 00:59:10.000]   And it if you have something just purple that shows that means you have the presence of carbon 60 and toluene
[00:59:10.240 --> 00:59:17.600]   And toluene another name for toluene is methyl benzene. Oh, yeah. That's yeah, right. Okay. All right. So then okay. So
[00:59:17.600 --> 00:59:22.480]   Your product is made without ever touching solvents and then you've got this other
[00:59:22.480 --> 00:59:26.480]   Um form of c68 that's marketed
[00:59:26.480 --> 00:59:32.320]   Called sublimated c60 where they take the fullerene and instead of using chemicals
[00:59:32.320 --> 00:59:38.480]   They just heat it up until it just evaporates and then they collect then they condense it back down and
[00:59:38.800 --> 00:59:44.160]   Um, that's how they separate it out, right? But there's the issue there, right with um
[00:59:44.160 --> 00:59:46.560]   That process is that you know
[00:59:46.560 --> 00:59:49.200]   I look at it from a contaminant standpoint because it's the
[00:59:49.200 --> 00:59:53.600]   Purity of the source right at that point when you're using sublimated c60, but yeah
[00:59:53.600 --> 00:59:57.920]   So if if regular c60 is treated with chemicals
[00:59:57.920 --> 01:00:02.320]   Um and no matter what you do they're still going to be residual chemicals
[01:00:02.320 --> 01:00:07.520]   Because we're all using it and we all see it because we put it in olive oil and it turns red
[01:00:08.000 --> 01:00:13.280]   You know you get this red tinge when you hold it up to the light and that if that tinge is coming from the solvents
[01:00:13.280 --> 01:00:15.280]   um, then
[01:00:15.280 --> 01:00:19.520]   Then other people are going no no no we use sublimated c60 yards doesn't have any
[01:00:19.520 --> 01:00:24.800]   So can you talk about that because you and I had an interesting talk about yeah, but even if you sublimate
[01:00:24.800 --> 01:00:30.480]   It's still it doesn't have solvents residual solvents, but it has residual contaminants
[01:00:30.480 --> 01:00:34.400]   So can can you talk about that on your website? You got this really cool graph
[01:00:34.960 --> 01:00:37.840]   Uh that you did a study on that. So let me just kind of show over that. Yes
[01:00:37.840 --> 01:00:43.440]   Sublimated carbon 60, you know we have people say that yes sublimated carbon 60
[01:00:43.440 --> 01:00:47.200]   Well, it never comes in contact with solvents. Now. That's true
[01:00:47.200 --> 01:00:51.040]   Once you sublimate your carbon 60 and don't put it with solvents
[01:00:51.040 --> 01:00:56.720]   You got me saying a true statement, but the carbon 60 which is started with before you sublime it
[01:00:56.720 --> 01:01:01.440]   Uh go through the sublimation process is produced with solvents
[01:01:01.840 --> 01:01:06.960]   So you start with it, but you know they there's companies out there that do a play on words
[01:01:06.960 --> 01:01:11.360]   Like our sublimated carbon 60 never touches solvents true statement
[01:01:11.360 --> 01:01:17.040]   But what they start with from the beginning before they sublimated is produced with solvents
[01:01:17.040 --> 01:01:21.600]   So that's how you so so far increased the concentration or increased the purity
[01:01:21.600 --> 01:01:25.760]   The so-called purity of carbon 60 is going through a sublimation process
[01:01:25.760 --> 01:01:30.320]   Which does not use solvents that is true during the sublimation, but what you start with does
[01:01:30.800 --> 01:01:32.480]   but
[01:01:32.480 --> 01:01:37.440]   going back to this graph that you have here on on on on a screen right now is
[01:01:37.440 --> 01:01:40.640]   When you burn when you'd have carbon rods
[01:01:40.640 --> 01:01:45.760]   And they're held together. It's they held together some more of us carbon held together
[01:01:45.760 --> 01:01:48.480]   It's held again, mostly with with with silica
[01:01:48.480 --> 01:01:53.120]   So there's silica this carbon as oxygen this potassium
[01:01:53.120 --> 01:01:59.440]   Does sulfur this magnesium? There's all these other elements that are in those carbon rods
[01:02:00.000 --> 01:02:04.720]   So when you burn them with an electric arc. Oh, yeah, they put out pretty colors
[01:02:04.720 --> 01:02:09.680]   You know like the red that iron that's in there will put out a red color these
[01:02:09.680 --> 01:02:15.680]   Sulfo will put out a yellow the magnesium and put out. I don't know. I think it puts out a blue
[01:02:15.680 --> 01:02:18.880]   But different elements that's why they make fire
[01:02:18.880 --> 01:02:24.640]   Fireworks they put out all these different colors. They use different metals or different different different
[01:02:24.640 --> 01:02:27.520]   Different elements that turn different colors when they when they heat it up
[01:02:28.320 --> 01:02:30.320]   So, yeah, all these
[01:02:30.320 --> 01:02:35.280]   Samples that we took, you know, we have carbon and oxygen and that's it
[01:02:35.280 --> 01:02:38.880]   We only have like a contaminant is a half a percent of oxygen
[01:02:38.880 --> 01:02:45.440]   That is all that's in our our carbon 60 powder and these other ones that are were analyzed
[01:02:45.440 --> 01:02:50.320]   They they have other ingredients or other other elements within them
[01:02:50.320 --> 01:02:58.080]   Okay, so even sublimated is not well pure carbon 60 right that's a bottom line
[01:02:58.480 --> 01:03:05.440]   Is because it has other it has other contaminants other metals and other substances in the the source, right? So, okay
[01:03:05.440 --> 01:03:10.880]   Yeah, and when they say 99 percent or 99.99 percent
[01:03:10.880 --> 01:03:16.880]   You know, that's only the ratio of carbon 60 to carbon 70. It's not how pure it is. Purity is the wrong
[01:03:16.880 --> 01:03:20.880]   You should be curious how much of the sample is carbon 60
[01:03:20.880 --> 01:03:26.320]   Right. No, well that that's called that's ratio. How much of the sample is C60 is the ratio
[01:03:26.880 --> 01:03:30.240]   Purity is how how clean the carbon 60 is by itself
[01:03:30.240 --> 01:03:38.080]   I guess well that's what they'd like you to believe but yeah, the word they use it the purity where it should be substituted and say ratio
[01:03:38.080 --> 01:03:41.920]   So purity purity of carbon 60 doesn't mean how clean it is
[01:03:41.920 --> 01:03:47.120]   It can it can still have like, you know, 99 pennies and one dime and a bucket of mud
[01:03:47.120 --> 01:03:50.480]   And you add a half a bucket of mud and they call that well
[01:03:50.480 --> 01:03:56.560]   We still have 99 percent purity in our, you know, nickel our pennies and dimes. Yeah. Well, this is really eye-opening
[01:03:56.560 --> 01:04:01.680]   Yes, I was always thinking I was always thinking sublimated was better right because it didn't have solvents
[01:04:01.680 --> 01:04:05.920]   but okay, so let me back back up a step here about the solvent issue because
[01:04:05.920 --> 01:04:09.440]   This has been argued voice for years now
[01:04:09.440 --> 01:04:12.560]   On the forums in the chat groups
[01:04:12.560 --> 01:04:17.680]   You know, there's this big there's you know, you've got a fan base and they're like, you know, and you know
[01:04:17.680 --> 01:04:23.440]   And then there's the other people and but it but and then of course all the people out there making C60
[01:04:23.440 --> 01:04:26.640]   They so here let me throw some arguments at you as the devil's advocate
[01:04:26.640 --> 01:04:29.520]   I just would just like to get your take on it and and people are saying
[01:04:29.520 --> 01:04:36.720]   Like like even like even when I did my research on on solvents and I went and looked up what the EPA and the FDA
[01:04:36.720 --> 01:04:43.360]   You know, OSHA regulations on parts per million just like, you know, the whole rat hair thing and you know, all the food out there
[01:04:43.360 --> 01:04:49.280]   There's you know, the the government allows percentage of your food to have a percentage of red hair
[01:04:49.280 --> 01:04:54.640]   I mean, there's this tolerance level. I guess is the best way to say it. So so for those folks that are saying
[01:04:54.640 --> 01:04:57.840]   Yeah, but you know, it's such a small per small amount
[01:04:57.840 --> 01:05:04.160]   let's say the the purple comes from toluene and there's yeah, there's solvents in it and I'm buying a C60 product
[01:05:04.160 --> 01:05:05.440]   That's purple
[01:05:05.440 --> 01:05:11.600]   And it's most likely, you know, it's got some of that stuff in there and but it's such a minute amount
[01:05:11.600 --> 01:05:16.800]   I'm probably getting more, you know, heavy metals driving down the freeway with my window open
[01:05:17.600 --> 01:05:22.480]   Then worrying about that. I mean, so like but what's the what's your take on that because is
[01:05:22.480 --> 01:05:29.600]   Is a exposure to this these types of solvents in such a minute amount
[01:05:29.600 --> 01:05:34.480]   Is that a actual threat to people that's any worse than the threat they have?
[01:05:34.480 --> 01:05:40.160]   You know driving or using chemicals cleaning their house or I mean, what's your what's your opinion on that?
[01:05:40.160 --> 01:05:45.680]   Well, toluene's a gasoline additive so you can breathe in at the pump also
[01:05:46.320 --> 01:05:49.200]   So but I've had people come to me that have had
[01:05:49.200 --> 01:05:53.600]   You know, yeah, it is a very small amount. That's correct. Okay. Um
[01:05:53.600 --> 01:05:57.040]   For one serving they take of their two teaspoons of product
[01:05:57.040 --> 01:06:00.160]   Uh, yeah, you're probably you're underneath the threshold
[01:06:00.160 --> 01:06:05.440]   But if you take you know twice that you're probably over the threshold put a minimum amount of toluene
[01:06:05.440 --> 01:06:08.400]   Well, you want to have in your body and your body doesn't know what to do
[01:06:08.400 --> 01:06:12.720]   You can process toluene most people cannot process it. Let's put it that way
[01:06:13.200 --> 01:06:18.480]   And so the toluene what it does your body will take and hide it or sequester it into your fat tissue
[01:06:18.480 --> 01:06:22.560]   Of your like your myelaine sheath of your nerves your your brain
[01:06:22.560 --> 01:06:25.280]   Your adipose tissue. So if you're a very
[01:06:25.280 --> 01:06:30.320]   Robust person and you have a lot of adipose tissue around your gut
[01:06:30.320 --> 01:06:35.040]   You're going to be able to hide more of this toluene in your body without having to be a problem
[01:06:35.040 --> 01:06:38.320]   But if you're a thin person
[01:06:38.320 --> 01:06:42.800]   Um, yeah, and you don't have that many adipose tissue with that much fat on your body
[01:06:43.280 --> 01:06:44.960]   You're going to have more of an effect for it
[01:06:44.960 --> 01:06:50.160]   And I have had people come to me after taking some people are more toluene intolerant than others
[01:06:50.160 --> 01:06:54.400]   I've had some that have come to me that have taken these other products and they say gosh
[01:06:54.400 --> 01:07:00.960]   You talk about the solvents. Tell me about them and and they ended up taking my product to detox from the toluene
[01:07:00.960 --> 01:07:03.760]   Um, so yeah, yeah
[01:07:03.760 --> 01:07:09.760]   And in people say that yeah, the carbon 60 will neutralize the toxic effects of the toluene
[01:07:09.760 --> 01:07:12.640]   Yes, it will but if you have too much in there
[01:07:13.200 --> 01:07:17.840]   Um, it's still a potential threat. So and it does hide in your body
[01:07:17.840 --> 01:07:20.560]   Um, so yeah
[01:07:20.560 --> 01:07:23.600]   Yeah, so okay. So at the end of the day though, it's bio-accumulative
[01:07:23.600 --> 01:07:29.040]   Right and it and and everybody's has a different tolerance level towards toxins
[01:07:29.040 --> 01:07:33.760]   And also there's people out there that are immunocompromised which they can't handle anymore, right?
[01:07:33.760 --> 01:07:35.760]   They've reached their threshold their bodies
[01:07:35.760 --> 01:07:39.200]   Uh past the equilibrium point where they can handle more toxins
[01:07:39.600 --> 01:07:43.920]   So there are people that are going to actually and you've actually lots of customers right have come to you
[01:07:43.920 --> 01:07:50.560]   That have actually you know that are that fall into that category where even a little bit of toluene is going to affect them negatively, correct?
[01:07:50.560 --> 01:07:53.440]   That is correct. You mentioned to me, yeah
[01:07:53.440 --> 01:07:57.760]   You mentioned to me that people have come to you and then they've tried other C60 products and it's kind of making them ill
[01:07:57.760 --> 01:08:00.800]   But uh, and they try yours and it doesn't have that effect. Is that correct?
[01:08:00.800 --> 01:08:06.320]   That is very correct. Yes, I bet people that you know, they take some of these other C60 products
[01:08:06.720 --> 01:08:13.120]   That have contaminants in them and I mean, I mean they I mean they get diarrhea and you know, they're
[01:08:13.120 --> 01:08:18.560]   For a month and then they stop taking it and then they go to then they take my product and we've got a bit
[01:08:18.560 --> 01:08:21.680]   There's a video on a lady that says exactly that
[01:08:21.680 --> 01:08:28.640]   And then they started taking my product and they they don't have any of that though those issues at all no no diarrhea
[01:08:28.640 --> 01:08:36.240]   No, no gut problems or I mean we've had a lot of lot of gut issues go away with carbon 60 because it stabilizes the
[01:08:36.800 --> 01:08:38.800]   the biome in your body
[01:08:38.800 --> 01:08:44.400]   Oh, it's fast. You know, yeah, you know, I guess that that really comes down to your toxic load
[01:08:44.400 --> 01:08:48.320]   And how you're able to deal with it. Actually, you know, like when after you and I had met that one time
[01:08:48.320 --> 01:08:55.840]   Um, I actually went to my doctor and had a full on blood test done because I was taking in copious amounts of C60
[01:08:55.840 --> 01:08:59.360]   And uh, I was worried, you know, and but I had them test my blood
[01:08:59.360 --> 01:09:02.000]   It came out negative, but I never even thought
[01:09:02.560 --> 01:09:07.760]   To test for you know, I test like my fatty tissues to see if it like if that's where it's going
[01:09:07.760 --> 01:09:11.120]   So that that's really an eye opener and I don't think I want to go through that again
[01:09:11.120 --> 01:09:13.440]   But yeah, I'm probably accumulated a ton of it
[01:09:13.440 --> 01:09:16.400]   I'm not a ton but quite a bit of it over the years
[01:09:16.400 --> 01:09:21.120]   So that's interesting for these you guys have been taking C60 oil for a very long time
[01:09:21.120 --> 01:09:23.680]   Um, and you're, uh, plump
[01:09:23.680 --> 01:09:26.320]   Like me
[01:09:26.320 --> 01:09:29.600]   Yeah, okay. So okay, so but here's the other devil's argument though, Bob
[01:09:29.680 --> 01:09:31.680]   So let me get your if you could if you don't mind
[01:09:31.680 --> 01:09:38.240]   Um, the other devil's argument that I've heard and read is okay. Well, you see 60 by its very nature is
[01:09:38.240 --> 01:09:43.280]   You know and ros scavenger. It's it's it's you know eliminates toxins in the body
[01:09:43.280 --> 01:09:48.880]   So even if the C60 i'm taking has a you know minute amount of toluene in it
[01:09:48.880 --> 01:09:50.400]   Um
[01:09:50.400 --> 01:09:56.080]   Wouldn't the C60 cancel it out? But you're saying that it doesn't right or what's your point?
[01:09:56.160 --> 01:10:03.040]   I mean, what's your it does to some extent, but it doesn't cancel it all out because it's actually, you know
[01:10:03.040 --> 01:10:09.600]   Chemically bonded to the carbon 60 molecule already. So it's actually like a Trojan horse bring it into your body
[01:10:09.600 --> 01:10:16.160]   Um, yeah, whether it cancels it all out or not. Yeah, there's a I to answer your question
[01:10:16.160 --> 01:10:20.000]   I don't know if it's going to cancel it all out or cancel part of it out
[01:10:20.000 --> 01:10:22.400]   But I have had people that were talked
[01:10:22.400 --> 01:10:27.520]   Do toxic from toluene from taking these other carbon say and they tested they went to their doctor
[01:10:27.520 --> 01:10:33.520]   And they tested at all that toluene how much was in their body and they were so they got on my carbon 60
[01:10:33.520 --> 01:10:37.520]   Yeah, so about carbon 60 didn't neutralize it. So yeah, I would say to some extent
[01:10:37.520 --> 01:10:44.080]   It does even the carbon 60 that has toluene will cancel out the toxicity effect of toxins by definition
[01:10:44.080 --> 01:10:52.240]   Are molecules that come into your body and their electron steelers they steal electrons off of molecules making free radicals?
[01:10:52.560 --> 01:10:58.320]   Carbon 60 gives electrons to the free radical stabilize them gives an electron to the toxin
[01:10:58.320 --> 01:11:01.840]   Neutralizing their toxic effect so they can't do any damage
[01:11:01.840 --> 01:11:04.880]   Okay. All right
[01:11:04.880 --> 01:11:08.480]   Yeah, I'm just okay. So it is bio cumulative. That's the key here
[01:11:08.480 --> 01:11:13.440]   Yeah, so when you know, so you had customers that tested positive for toluene
[01:11:13.440 --> 01:11:17.200]   But do you know if they did a blood test or they actually tested their fatty tissues?
[01:11:17.200 --> 01:11:20.800]   Well, they I don't know they did a blood test. I don't know
[01:11:21.360 --> 01:11:25.280]   What tested it, but they did it was it was a blood test. It was wow that they did
[01:11:25.280 --> 01:11:29.120]   I don't know if they tested their fatty tissue. I haven't heard of anybody doing fatty tissue
[01:11:29.120 --> 01:11:33.920]   It's mostly blood work. Wow if you pick it up in the blood, that's serious. Okay. All right
[01:11:33.920 --> 01:11:37.520]   That's interesting to know because I was actually kind of worried about it back then and then I kind of
[01:11:37.520 --> 01:11:41.360]   I discounted it for all these years, but now you got me thinking about it again
[01:11:41.360 --> 01:11:47.040]   Okay. All right. So hey, you know, uh, again another question, um, and
[01:11:47.600 --> 01:11:52.160]   Thanks for your time by the way, but I just you know for the source material when you're mentioning
[01:11:52.160 --> 01:11:57.440]   synthesizing or concentrating c60 from a source of carbon
[01:11:57.440 --> 01:12:00.880]   I've got this running question and I run into shungite
[01:12:00.880 --> 01:12:04.800]   Believers, you know, there's some real strong shungite people out there
[01:12:04.800 --> 01:12:09.040]   Um, and you know, and I'm just I just want to clarify something about
[01:12:09.040 --> 01:12:11.840]   in your opinion as a carbon scientist
[01:12:12.480 --> 01:12:18.560]   What is the purest form of source material to use when extracting c60?
[01:12:18.560 --> 01:12:25.680]   Because right now I I know that you know the arc arc, uh, you know arc guys the arc, uh reactor folks are using graphite
[01:12:25.680 --> 01:12:29.120]   Right, they're using graphite to extract the c60, but
